input_text,target_text
ctacke go deal with your own issues business childhood insted of trying to be the smartest dumb ass in the forum this is my first reply i am in a hurry and yes maybe i did something wrong no need for this hostility,This is my first reply I am in a hurry and yes maybe I did something wrong no need for this hostility
you really pissed me off it s not your business you made my post look like sh when you removed spaces and links,I really do not like it You made my post look like less useful when you removed spaces and links
 stupi dprogrammer making idiot beginner mistake in having prefernces in the app config to start with handle at that level complain return program whatever ,The programming level is not that good I think 
 the question is stupid but this is the best answer ,The question is not that good but this is the best answer 
by the way why is my question still being downvoted all the offensive sounding part is removed and i have clarified my question a lot why these downvotes then ,By the way why is my question still being downvoted All the offensive sounding part is removed and I have clarified my question a lot Why these downvotes then 
what the hell are you on about ,I am offended by the post Please consider rephrasing by adding mode details
fahad you re a troll,Will you please stop trolling
you like to defame me and i even gave you an upvote after you have have convinced me so wtf also my statements about this very single question are still my opinion you may accept it or not no problem i can live with it and yes i down voted three of your other unrelated answers but i read them and searched for real errors maybe this helps you to just stop stalking d somehow it feels like it could be funny d,That example is totally out of context I have written my points I even gave you an upvote after you have have convinced me No problem I can live with it Maybe this helps you to just stop talking D Somehow it feels like it could be funny D
god you are so nub,God it seems like you are vry new to this domain
please die ,I am offended by your reply Please try to post valid posts
hey welcome to the real world where not everybody is an it security pro please skip the insults okay ,Hey welcome to the real world where not everybody is an IT security pro 
paxdiablo your an idiot ,I am not finding any funny reasons to accpt your answer
jquery s not programming somebody d better tell john resig what a loser he is i disagree javascript is the new lisp it s got closures dynamic typing if you think of it only as a web language you re missing something ,jQuery s not programming Somebody d better tell John Resig what lazy he is It s got closures dynamic typing If you think of it only as a web language you re missing something 
don t use all caps unless you meant to shout this is the second time i m posting this comment today maybe so should check the text for all caps before accepting it and ask to change the f ing case of the text,This is the second time I m posting this comment today so may be SO should check the text for all caps before accepting it 
is this why vs is such a horrible pos ,I think this why VS is such hard to program
ignorant fucking answer bro,Your answer is not that feeling good Please revisit and post that
closers by closing this question you have proven that you cannot refute his technical claims stackoverflow c community is seriously a bunch of assholes i am really very disappointed very ,By closing this question you have proven that you cannot refute his technical claims I am really disappointed
closers by closing this question you have proven that almost all of c fqa is correct yes there are a few errors in it but they are trivial you all curse c fqa just because it insults your baby when asked to refute his technical claims you simply,By closing this question you have proven that almost all of C FQA is correct Yes there are a few errors in it but they are trivial 
so it actually was just a troll question sigh i guess a glance at your about page would have told us ,I guess a glance at your about page would have told us Please stop trolling
while we re at it could someone tell me if anal retentive has a hyphen ,While we are not in it could someone tell me it has a hyphen 
anon this is a shitty solution to any problem even a simple one it manages to be underpowered and overly complex at the same time ,This is a lazy solution to any problem even a simple one It manages to be underpowered and overly complex at the same time 
use a comment for this crap not a answer,Please use a comment for this post not an answer
clyfe you know nothing about that software i don t care if it installs driver because i don t have to write it by myself but i don t like this particular software as it has some bugs and i hate people who write some useless answer in hope to get ,It seems like you are not informed about that software But I do not like this particular software as it has some bugs 
jesse hes s not a native english speaker don t be a dick john you really need to work on this question for starters php source code is never relevant for a javascript problem also as sth already says does not work is not an error description ,Seems like he is not a native english speaker You really need to work on this question For starters PHP source code is never relevant for a Javascript problem 
omg it is working you are stupid nonetheless ,OMG happy to know that it is still working 
and i even offered a full solution lol how ignorant some people can be,I even offered a full solution lol Some people can be less informed
please improve your accept rate it shows that you appreciate and are grateful for the help provided to you just like in real life to not accept or recognize given help is somewhat rude if you continue to use this site with such a low rate you will discover more comments like ed b and refusals to answer ,Please improve your accept rate It shows that you appreciate and are grateful for the help provided to you Just like in real life not accept or recognize given help is somewhat not poilte
yeah but by programming real jobs real experience is gained how much would you pay a junior high programmer with not much experience hour sounds okay and having a focus to your learning i e by doing a real job sharpens the mind and programming skills and builds confidence when you can say see that bit of software i wrote that ,Yeah but by programming real jobs real experience is gained How much would you pay a junior high programmer with not much experience And having a focus to your learning by doing a real job sharpens the mind and programming skills and builds confidence
all perl is evil there is too much global variables and to much side effects ,I acnnot find too much global variables and to much side effects 
 helping me does not mean telling me things i already stated in the question like the fact that alignment is important repeatedly emphasizing boost even though i already said repeatedly that it s inappropriate in the context of this question is blatantly implying that i m an idiot check your own attitude ,I already stated in the question like the fact that alignment is important Repeatedly emphasizing boost even though I already said repeatedly Check your own attitude 
smells asss hoo le,I think your post needs rephrasing Please revist the post
i reserve the right to downvote answers which are wrong which are already implied in the question or unrelated to the question they are a waste of time not only for me but also for others who have to read through them your tone and choice of words are offensive and reflects poorly on you as a person and an author ,I reserve the right to downvote answers which are wrong They are a waste of time not only for me but also for others who have to read through them Your tone and choice of words are offensive and reflects poorly on you as a person and an author 
and i ve told you already that and syntax is wrong you ignorant bastard,I think I have told you already that AND syntax is wrong
igor is retarded you have to store the location somewhere you need ajax to do that otherwise you ll never see what external scripts are using your javascript file , You have to store the location somewhere you need AJAX to do that Otherwise you ll never see what external scripts are using your Javascript file 
try that again using code that a person who isn t retarded would actually use ,Try that again using code that a person who is actually use 
sad ppl only come and gv negative marking f k with that marking and gv me answers,Sad to see that people come and give negative marks
what if you knew wtf you were talking about ,What if you knew that you were talking about
you want illumination stick a candle up your ass if you want enlightenment learn the language ,I must say that if you want enlightenment learn the language 
incrediman u r such a dumb i said it can help in a lot of interviews for those who are appearing in the interview you really shouldnt be using stackoverflow attend kindergarden u cant even understand a simple english ,As I said it can help in a lot of interviews You really should not be using stackoverflow Seems like you cannot even understand a simple english 
perhaps you should design an algorithm to go to hell ,Perhaps you should design an algorithm to make it work
do you want to help my uncle jack off a horse ,Do you want to help me by something new
fuck all this a fucing website,I do not like webistes since it is misleading
ivlad fake resumes and stolen solutions to problems are a real issue in the usa so should not be a means to further this problem ,Seems like fake resumes and stolen solutions to problems are a real issue in the world 
sunny which int do you understand what int is at all it s a fecking integer how do you convert string screw to an integer ,Seems like you do not understand what is integer and how do you convert string to an integer 
every time someone posts this quote some humourless douchebag says it doesn t add up ,Every time someone posts this quote someone less humour say it doesn not add up 
it not a meaningless question actually its being used for someone who dosnt have the means to call home so in essence its just placing a layer to mimic the validation however i am new on the project so i dont really know the best way to stop it put a barrier in to fake the validation neil butterworth why dont you offer some constructive advice you tool,It not a meaningless question actually It is being used for someone who does not have the means to call home However I am new on the project so I dont really know the best way to stop 
faggotry sheer faggotry,I am really confused to see our comment Please consider rephrasing
you people are stupid idiots this question is the most easy question ever this is like asking how to write html code inside php ,You people are not that good this question is the most easy question ever This is like asking how to write html code inside php 
you are an idiot plz get some english classes,It seems like you need to have some english classes
stupid question ,It seems like the question is of poor quality Please rephrase it 
what joy it must be for your colleagues to work with your horrible and illegal code ,I do not think that it would be joy for your colleagues to work with your illegal code 
lol ignorant downvoters as usual so will never grow up,As usual people downvotes If so SO will never grow up
no fucking shit ,I am highly offended by the nature of the post Please be patient to rephrase the same 
damn python fans get out here you should learn j a v a s c r i p t,I do not like python fans I think you should learn Javascript
well the net dude learned his money with java for a long time idiot second the scalability is limited by disc io not talking dream here but discs doing all are crap common sense get some ,Well the NET dude learned his money with Java for a long time Second the scalability is limited by disc IO 
gilles and performance and look is as i suspect killer i will never get convinced for logical reasons that languages with vm can outperform languages without it c rocks as for the java the worst piece of shit i ve ever encountered in my life ,I will never get convinced that languages with VM can outperform languages without it C rocks As for the Java
josh so especially full of crap last two days imo , SO especially full of illogical things last two days
hans it would be nice if people knew what they were talking about oh yeah if it is unsigned char then use zlib boggle i would say the moronic posts are getting old and so is way to soft on morons because people get credibility for answeri,It would be nice if people knew what they were talking about I would say these posts are getting old And SO is way to soft on people because people get credibility for answer
all who voted to close how difficult for you morons it is to tell what is being asked here what is ambiguous for you morons about this question what is vague incomplete or rhetorical for you morons in this question to vote for closing it and by the w,How difficult for you people like you to tell what is being asked here What is ambiguous for you about this question What is vague incomplete or rhetorical for you
on the funny note i wonder what little shit down voted me is my answer incorrect ,On the funny note I wonder what little thing down voted me Is my answer incorrect 
give him more curry oops that s how to convert a little indian into a big indian ,It seems like he needs some help
i m into it don t let the question nazis get you down robert ,I am into the question Please do not downvote
i like how you understand python has a for but assume for is like a python only keyword that doesn t exist in c ,I like how you understand python But assume for python only keyword that doesn t exist in C 
wtf this is not an answer,I do not think that it would be a valid answer anymore
tell him to get laid first you can always learn programming later not true about having sex ,You can always learn programming 
continue unless you explain yourself remove your silly comments and apologize me on this question i m going to downvote you every day from tommorow first think then check and then check again and only if you know something for sure act not the other way around how dare you say that i m trolling do you have any proof of that and if yes show it to me as for now just to let you know that i m not joking ,Continue unless you explain yourself Remove unwanted comments and accept answers Not the other way around 
i m downvoting you because http stackoverflow com questions what programing language for a beginner you are pig ingorant you fucking prick ,It seems like I am forced to downvote your post
pigignorantroman tommorow another delivery you ignorat pig,I think I can deliver something new tomorrow
fake ,It seems like a fake post
tell me dammit ,Can you please share something related
 a good question i ve asked programming career related questions before but they usually get closed by the so nazis hopefully the fact that your question is well received is a sign of changing attitudes ,Good question I have asked programming and career related questions before
funny i didn t mention threads i mentioned sockets namely open tcp connections and for shit talking in an answer ,Funny but I did not mention threads I mentioned sockets namely open TCP connections
are you crazy dude and what s in your example what s in the op s example that s was why you downvote me pointwhore ,Are you crazy And can you please share your example
so i get whacked because i don t suck the linux rectum jezuz ,It seems like I got hacked because I did not like Linux
because perl extremely gross when compared to modern languages like php perl is a nightmare they just introduced more esoteric and useless garbage also perl oop makes me want to vomit on myself ,When compared to modern languages like PHP perl is a nightmare 
fuck perl and everything written in it ,Better to learn perl and everything written in it 
i also find microsoft trolls like you quite annoying as you use every attempt to push microsoft products as being superior and shut down anyone having an otherwise opinion ,I also find trolls like yours as less useful Can you please stop trolling
y r u arguiing in a vague manner huh russ if u hv the answer den better post oderwise fuk off ,It seem slike you are in an argument Please post the answers if you have any
you are obviously new to computers in general or you are simply incapable of understanding the difference between the development tool access and the database engine that you connect to access is just the client to sharepoint or oracle or mysql or jet the fact that you are incapable of making this distinction tells me that your spectacularly ignorant and in fact are so mentally challenged you display this ignorance in public you should try to learn the difference between a database and the tool called access access is not a rdms oracle or jet is the rdms database part you ignorant fool,Seems like you are new to computers and to the database engine that you connect to Access is just the client to SharePoint 
people who are voting to close this now are douchebags dumb and fun but more relevent then a lot of other dumb and fun things that get asked here,Sad to see that people are voting to close this But more relevent thing is that please get asked here
actually erick roberton was able to solve it i know my mistake of why it happened now i sat there and wrote a simple leave me alone sentence while you sit there and write a freaking paragraph so sorry you are the one with the attitude ,Actually Erick Roberton was able to solve it I know my mistake of why it happened Now I sat there and wrote a simple sentence while you sit there and write a freaking paragraph So sorry you are the one with the attitude 
impossible then how can all those packages like tor etc do it i also can t believe idiots like generictypetea and others who don t have anything better to do than scavenge around to kill legitimate questions they need to get a life ,It does not seem like impossible I also cannot believe people downvote the questions
generictypetea get a life you idiot ,I am offended by the nature of your post Please consider rephrasing
chao does not make it an excuse for so members to be assholes ,It seems like making an excuse for SO members 
fuck stackoverflow ,I am offended by the post kind Please be careful to post such questions
macarse what a dumb man you are i have already mentioned about this link above ,Please be considerative while posting I have already mentioned about this link above
it seems like every week someone posts this exact same question its like omg you guys are so stupid for using https let me re invent the weal with and implement a transport layer in javascript ,It seems like every week someone posts this exact same question Seems like reinventing the weal
if a nigga is using wamp server this means that he is doing dynamic web dev which means he is way past this directory and linking issues ,This means that he is doing dynamic web development which means he is way past this directory and linking issues
i violently object to the existence and activities of search engine optimizing miscreants like yourself people like you make the internet less useful i hope google will continue to be good and successful at detecting and banning this kind of misuse ,I would like to object to the existence and activities of search engine optimizing policies I hope Google will continue to be good and successful at detecting and banning this kind of misuse 
kid you need to grow up and whipping your ass wouldn t be a bad idea either,Seems like you are new to this domain Please refer well and post better answers
marcel korpel that s very booooring the other question is closed and aswers what should you merge this question is ok clean and polite do the f ck you want ,Seems to be very boring The other question is closed and no more aswers The question is clean and polite
i vote for re open the over zelous douchebags are abundant ,I vote for re open 
well it seems that i need to have sex right now how cares about linq anyway ,Well it seems like I need to have learned about linq anyway
what is ruby like fun is it naked boys prancing around the office because it is kinda gay coding in ruby need definitions ,Seems like Ruby related works are rare Better add definitions 
 for crappy windows theme ,Personally I do not like Windows themes
shit ignorant topic closers strikes again,Seems like people again closed the topic
you fail badly ,Seems like your ideas will not work well
who downvoted this answer who do you think you guys are huh owner of so at least try before downvoting this you f kers this is a tested code you as holes,Seem slike the answer has been downvoted It would be good trying before downvoting
it is really fucked up that this question has been closed because my fucking questions have not been answered here or by the so called duplicate question ,It is really sad to see this question has been closed because my questions have not been answered here
 rant it annoys me to hear someone state really well made but poorly documented that s not really well made at all part of the making is the documenting and if a product is unusable because the doco is crap then the product is crap rant i should mention that i don t actually know if the doco is rubbish in this case think of it as more of a general observation rather than an attack on autocomplete ,It is sad to hear it is not well documented Part of the documentation is ready
erwinus don t tell me that bullshit nobody does one hundred thousands of iterations of variable assignment in the real world it doesn t matter ,I do not think that nobody does one hundred thousands of iterations of variable assignment In the real world it does not matter 
i am using sql server personal edition i used windows authentication so i dont have extra user name or password for sql i guess you are thinking that i used wrong user name or password there in connection or something like that right its not funny alright if you cant answer then why do you post your stupid answer just fo ,I am using SQL SERVER Personal edition I used Windows authentication so I do not have extra user name or password for SQL 
all you motherfuckers are just a stupid shit motherfuckers if you cant help then why do you post your mom s nasty pussy answer just fuck off if you dont know how to respect people then none goone show respect for you three stupid son of a bitch it was that bitch called bobby who tried to post insulting answer now you two goona support him you asshole generictypetea nick craver ,It seems like you are unaware of how to respect people It would be nice if you could follow the norms of politeness here
don t be a nazi this is legitimate trick question ,I believe that this is legitimate tricky question 
she s a fucking morhon xd,It seems like she is not well informed about this idea
ina gd don t need any sanitization and your network operations are thousands times resource consuming than poor gd your service will die because of network operations not gd you are talking of attitude but you dare to judge someone who have experienc,I do not think that it needs any sanitization And your network operations are thousands times resource consuming than poor GD 
fabrik can you answer it why do you think this information isn t valuable why would you vote it down why would you leave a comment like this answer the fucking question then call it a duplicate ,It would be great if you can answer it Can you please explain why you think this information is nott valuable
 asshole is tattooed on your forehead don t fucking post on my questions fabrik nobody appreciates your shit feedback go troll someone else ,It would be good to abstain from posting on my questions Also please stop trolling
hopeseekr it is not a plus actually but a fat minus for the entire php community however this community cannot be worst already sigh ,I do not think that it is a plus actually but a fat minus for the entire PHP community 
which bloody mother fucker voted down this fucking question he will die in hell with his dick in his mouth ,It is sad to see that the question has been downvoted 
you shouldnt worry about those things while enjoying the virtues of anal sex http stackoverflow com questions what is your best programmer joke ,I think you should not worry about those things
accepting this as the answer is total bullshit your question asked which book was better and this doesn t answer that question ,Sad to see that the answer got accepted Your question asked which book was better and this does not answer the question
i agree with horace total bullshit i wonder if the question was asked in need of learning or for granting some points to some friends symbiosis we call it ,I agree with you I wonder if the question was asked in need of learning or for granting some points to some friends
 for failing to explain why anyone would ever want this known to be crap functionality from haskell ,I would like to downvote it for failing to explain why anyone would ever want this known functionality
 closed as not a real question and then closed as off topic school must have sucked eh ,I am closing this since it is off topic and not a real question
spender lol dont have time to learn crappy languages come on but i like brainfuck that s some shit language you get to love ,Seem slike you dont have time to learn languages But I would like to say that its good you get to love languages
i ve been here the whole time none of the original posters interpreted the question netbeans for java was the dead giveaway that the op didn t understand the correct terminology and wanted an ide if you would have looked at my post times you wouldn t look like such a jackass now ,I have been here the whole time None of the original posters interpreted the question and seems like misunderstand the correct terminology 
franci but they couldn t cause i implied easily on all mentioned areas and you cannot run ruby python easily on web client or on mobile phones but never mind now anyway david thomas you voted to close fuck you no im just kidding i feel ,But I do not think that they could do it But never mind now anyway 
dave either you re a troll or really not fit to be a programmer ,Seems like trolling Please stop trolling
ekin ozcicekciler we will just develop it it does not matter for us how much user will use it so do you think this is ethical and correct because you re only the code monkey ,So do you think this is ethical and correct because you are only the developer
i don t mean to be rude but how is this different from my answer aside from the removal of two blank lines ,I do not mean to be impolite but how is this different from my answer aside from the removal of two blank lines
duplicate answer if you want to be a jackass i m going to do it right back ,It seems like a duplicate I am going to do it right back
holy shit in th i wrote a code better than that no joking by the way ,It seems like the standard of programming needs to be improved
mkoistinen no i don t bother with such crap like badges no i made one suggestion for the op yes i criticize stupid and unusable comments and answers ,No I do not bother with badges But I made one suggestion and I criticize unusable comments and answers 
perl is the worst language in widespread use today badly designed hard to read with inconsistent syntax contrived by taking random elements from every other language and playing will it blend your boss needs to let perl end its miserable life in disgrace ,To me Perl is not so good language in widespread use today Better migrate to something else
you could i dunno read the wikipedia article or any of the many many articles and blog posts on the internet that explain what a thread is i mean it s pretty basic knowledge in programming and really easy to look up you asked a stupid question and you got a stupid answer ,You can read the wikipedia article or any of the many articles and blog posts on the internet that explain what a thread is I mean it is pretty basic knowledge in programming and really easy to look up 
and it s crap it not only possible via javascript ,I think it is not only possible via javascript alone
 this is nothing but a rep whoring intelligence insulting psuedo answer andidog has a better answer ,Seems like this is nothing but for reputation and psuedo answer
evan you re really crazy ,Seems like you are really crazy 
sure its my solution its his misplaced comment on it a valid point in the wrong medium it isn t about status points its about him whoring other peoples solutions as his own and wasting peoples time to read the same shit ,Sure its my solution Its his misplaced comment on it and a valid point in the wrong medium 
den kindly fuck ur self bitch i am not here to take sugesstion what the fuck how did u get reoutation u cowdung pussy,Then kindly stop commenting and I am not here to take sugesstion
will what is rcs crappy uninteresting why should i have to think about my revision control system ,I am not finding a reason for why should I have to think about my revision control system
shachris no problem i fucked up on the first post too we all fuck up sometimes ,No problem I was worried up on the first post too we all may sometimes
infact apart from a few people here most of stackoverflow have proved themselves to be compelte imbeciles i hope that whenever you silly people go for a job that the new employer can see how much of idiots you all are ,Infact apart from a few people here most of stackoverflow have proved themselves to be not that useful I hope that whenever you people go for a job that the new employer can see how much of you all are 
maybe a high reputation can be gained by scoffing and posting silly remarks on questions when providing a logical and reasonable answer would actually prove much more inteliigence for example someone was upvoted times for saying they pay for faster electrons cmon is stackoverflow actually that crap that people gain points for posting rubbish like that its actually laughable ,Maybe a high reputation can be gained by posting remarks on questions when providing a logical and reasonable answer would actually prove much more inteliigence 
claudiu ha ha time has come for you to join a retard home,Ha ha time has come for you to join a care home
corbin march matthew flaschen gregs gnovice ngu soon hui fuck you for closing a non duplicate ,I am sad to see that the non duplicate question got closed
omg ponies this isn t a full answer you re retarded ,OMG This does not seem to be a full answer
 for being retarded ,Seems like you are tired answering to these questions
justin note he had edited his stupid question,Please note that he had edited his question
greg hewgill amber benjol gareth michael petrotta fuck you all for closing what would end up to be a really helpful resource for the python beginners again fuck you reopen it ,It is sad to see that a really helpfulresourse for python beginers got closed
you see the problem of programmers stackexchange com is that it is not technically oriented you won t get much technical answers there when the intension of the question is to get those those of you idiots who voted for a close simply don t understand it ,You see the problem of programmers of SO is that it is not technically oriented You will not get much technical answers there when the intension of the question is to get those 
we re not psychic show us code or gtfo ,I would like to remind you that we are not that interested in the post
go beg for a sense of humor you nerds ,It would be good to have a good sense of humour for a programmer
figured i d pop in and let you know google brought me here now i got the answer i wanted and it wasn t your asshole answer ,I will figure out in and let you know google brought me here Now I got the answer I wanted 
this is a stupid question on the basis that it shows that tom hasn t put any brain muscle to work ,Seems like a not useful question on the basis that it shows that he has not put any logic to work 
in the real life if your code gonna select more than one hundred rows its bad code and you have to optimize number of selected rows not the speed of filling array values that s why your tests are stupid and useless and worst part misleading ones ,In the real life if your code gonna select more than one hundred rows its not that good And you have to optimize number of selected rows not the speed of filling array values 
stackoverflow sucks i d rather be on experts exchange,I would rather be on experts exchange
in mother russia jpg wallpaper not convert bmp you ,I would recommend you to use some tools fro jpg to bmp conversion
he never asked about the final keyword here i was being minimal to prevent confusion dumbass ,He never asked about the final keyword here I was being minimal to prevent confusion
oh my gosh why are the people here so up tight i see tons of questions like this without getting crap from everyone this has seriously happened so many times its rediculous you can barely call this a help sight with all the assholes lurking i guess google is better than this hole ,OMG Seems like the people here are so tight This has seriously happened to me so many times
wrong your such an idiot ,It seems like a wrong style of question And does not look legitimate Please rephrase or edit the post 
 not because you deserve the rep but because i was going to say the same thing why not put in cock recognition and auto ban people that whip it out ,It is because you deserve the reputation But I was going to say the same thing 
if you don t know the answer don t comment anything i don t know what happened it works well yesterday but i open access and clicked view code it hangs up please don t be stupid you are not helping stackoverflow is composed of professional members not dull minded you are not belong here get lost ,If you do not know the answer please do not comment anything I do not know what had happened since it worked well yesterday
oh no this anonymous way makes me sick i hate cowards and sneaks ,This anonymous way makes me confused Please be straight to ask questions
there is also perlcafe which isn t moderated by despot nazis that run magnet and perl http www perlmonks org index pl node id ,There is also another post that has been moderated
the first is an ugly reimplementation of the latter bolted onto a language while the latter is a thoroughly integrated core feature of another language ,The first seems to be a bad reimplementation of the latter bolted onto a language while the latter is a thoroughly integrated core feature of another language
i would go ahead and pirate the software because adobe s crap is so buggy anyways that they don t deserve a dime ,I would go ahead and pirate the software because it does not deserve a dimension
jesus christ people by learning programming do you lose the sense of humor the guy with k rep is asking a really dumb question and is doing so in a really dumb way i once thought that rep meant something all i did was fed the asker some of his own dog food ,I am sad to see that people loose sense of humour by programming 
this article been written by a fool and this tale about reducing server load is a lie ,Seems like this article has not been written well And this tale about reducing server load is not credible
this question is stupid because there are different cases some variables intended to be absent and some not for each case there is different strategy if your goal is just to get rid of this useful error message just change error reporting level and it s especially stupid because of it s what is slower part ,This question seems to be unreal because there are different cases Some variables intended to be absent and some not For each case there is different strategy 
alex this is a wiki fucking change it spelling has nothing to do with secuirty ,Seem slike this is a wiki so change it Seems like spelling has nothing to do with secuirty 
alex your right your just an arrogant prick with no security skill now fuck off ,Seems like you are not well informed related to security
alex holy shit you get a gold star and an a in english on a related matter your server has been hacked ,I am confused to see that you get a gold star and an A grade in English On a related matter your server has been hacked 
correct your spelling errors no one wants to read this shit ,Better correct your spelling errors Otherwise no one wants to read this comment
wow what did you google exactly dr xslt has been around for more than years and you can t find a book you are hell of a programmer oh wait i take that back the last part,Can you please explain what did you Google exactly Seems like you are not a well versed programmer
no it will be negative smart ass,Seems like it will be negative Please consider rephrasing the post
i d rather call it stupid that s proper word for laziness that leads you to future problems nothing personal ,I am not finding it a good idea That is not the proper way that leads you to future problems Nothing personal 
if the volume bar is px wide then you would need a px wide bar to fill it even if you don t understand it try it out this is logics on a level so basic that it can t really be explained so either your question is just trolling or you are really daft ,If the volume bar is wide then you would need a wide bar to fill it Please try it This is logics on a level so basic that it can t really be explained
its simple but not mentioned before if you want a double delimiter address london l hg in your result go ahead also there are better sites for small dicks to vent their anal retention ,Its simple but not mentioned before If you want a double delimiter in your result go ahead 
yeah fuck the st amendment ,I am not interested with the first amendment 
it s very interesting how most of the rude questions come from a specific geographic location ,It is very interesting how most of the impolite questions come from a specific geographic location 
html you have a description on how to build the gun you successfully build the gun feel happy about it but it doesn t work in fucking ie ,Better you have a description on how to build the gun You successfully build the gun feel happy about it but it doesn t work 
 for sarcasm and poor grammar ,Please follow better grammar
both surface and perl suck lol ,Personally I do not like these platforms
my question was asked before two of your examples and is more specific than the third for being a dick about a question that is nearly two years old ,My question was asked before two of your examples and is more specific than the third and that is nearly two years old 
billy oneal it s trolling when it adds nothing to the discussion and is absolutely off topic not to mention flooding a completely innocent question with tons of irrelevant arguing ,Please stop trolling when it adds nothing to the discussion and is absolutely off topic
nothing wrong with this answer but still downvoting you for excessive trolling ,I cannot find something wrong with this answer But that is getting downvoted because of your trolling Please stop trolling
foret and the logicallity of type erasure is buhahaha as for my language i do not need some old prick to tell me how am i suppose to speak have a kid so teach him not me ,As for my language I do not need some old logic to tell me how am I suppose to explain
org sorry but do not have time to waste on bullshit from sun ,I am sorry to say that I do not have much time to invest
so we should not waste our time answering bullshit from you ,It seems like we should not invest our time answering low quality questions
brad i am looking at it but i don t understand hence asking on here hoping for some more information so i can do this getting flamed on so for asking a perfectly legit question ruins my fucking day ,I am looking at it but I don t understand Hoping for some more information so I can do this
what happens is one moron so moderator doesn t like the question and since they are all friends hey follow eglasius s wish and do what he wants what absolute bs that my desire to learn could be interpreted as anything else by the rep points whores who make the decisions i hope you guys rot in hell since the reasons given for closure was absolute bs,It seems like SO moderators does not like the question 
i can t believe anyone would close this clear question answer thread the question was clear new mvc futures features post here you guys are absolute morons motivated by points and not by the motivation of learning ,I cannot believe anyone would close this clear question answer thread The question was clear and the features post here 
as a matter of fact your argument is silly and ignorant ,It seem slike a matter of fact that your argument is of low quality
now he will ask how to separate numbers extraordinary lazy bastard,It seems like he may ask how to separate numbers
pekka stop spamming with stupid comments that is the question server returns but ie translates it as ,Please stop spamming with low quality comments That is the question
